,Ticker,Price,P/E Ratio,P/E Percentile,P/B Ratio,P/B Percentile,P/Sales Ratio,P/Sales Percentile,EV/EBITDA Ratio,EV/EBITDA Percentile,EV/Gross Ratio,EV/Gross Percentile,NumberSharesToBuy,RV Score
0,TSN,60.474998474121094,9.12,0.9960159362549801,1.11,0.199203187250996,0.41,0.9960159362549801,6.25,0.597609561752988,0.55,0.796812749003984,N/A,0.7171314741035857
1,VLO,140.85000610351562,4.62,0.597609561752988,2.19,2.589641434262948,0.3,0.597609561752988,3.09,0.398406374501992,0.28,0.398406374501992,N/A,0.9163346613545816
2,ADM,82.2699966430664,10.67,1.394422310756972,1.85,1.593625498007968,0.45,1.195219123505976,7.98,0.796812749003984,0.52,0.597609561752988,N/A,1.1155378486055776
3,UHS,147.14500427246094,15.3,1.792828685258964,1.81,1.394422310756972,0.85,2.390438247011952,9.71,1.195219123505976,1.19,2.191235059760956,N/A,1.7928286852589639
4,ABC,158.63999938964844,19.16,2.589641434262948,5.58,6.573705179282868,0.14,0.199203187250996,11.49,1.394422310756972,0.15,0.199203187250996,N/A,2.191235059760956
5,UAL,48.790000915527344,22.77,4.9800796812749,2.41,3.187250996015936,0.37,0.796812749003984,13.75,2.9880478087649402,0.81,1.195219123505976,N/A,2.6294820717131473
6,AAP,153.0399932861328,19.42,2.788844621513944,3.3,4.183266932270916,0.84,2.191235059760956,13.11,2.788844621513944,1.12,1.9920318725099602,N/A,2.788844621513944
7,AEP,90.13999938964844,19.15,2.390438247011952,1.95,1.792828685258964,2.5,4.382470119521912,11.7,1.593625498007968,4.52,6.175298804780876,N/A,3.2669322709163344
8,AEE,85.22000122070312,21.55,3.9840637450199203,2.18,2.390438247011952,2.99,4.9800796812749,12.13,1.792828685258964,4.99,6.573705179282868,N/A,3.944223107569721
9,UNH,495.0199890136719,22.52,4.581673306772908,5.47,6.374501992031872,1.41,2.788844621513944,14.93,3.9840637450199203,1.48,2.788844621513944,N/A,4.103585657370518
10,AKAM,85.12000274658203,28.63,6.175298804780876,3.32,4.382470119521912,4.03,5.9760956175298805,12.71,2.390438247011952,4.54,6.374501992031872,N/A,5.059760956175299
11,TT,183.05999755859375,23.84,5.179282868525896,6.81,6.972111553784861,2.65,4.581673306772908,16.61,4.382470119521912,2.82,4.183266932270916,N/A,5.059760956175299
12,APH,79.69100189208984,25.65,5.776892430278884,6.68,6.772908366533864,3.8,5.776892430278884,16.65,4.581673306772908,3.91,4.9800796812749,N/A,5.577689243027888
13,TRMB,55.59000015258789,31.57,6.573705179282868,3.87,5.179282868525896,4.05,6.175298804780876,19.56,6.175298804780876,4.34,5.776892430278884,N/A,5.9760956175298805
14,AIG,61.189998626708984,3.59,0.199203187250996,1.15,0.398406374501992,0.83,1.9920318725099602,21.09576923076922,51.29482071713147,1.24,2.390438247011952,N/A,11.254980079681275
15,AIZ,132.9600067138672,21.87,4.382470119521912,1.72,1.095617529880478,0.74,1.792828685258964,21.09576923076922,51.29482071713147,0.77,0.9960159362549801,N/A,11.912350597609562
16,AFL,69.7300033569336,8.96,0.796812749003984,1.42,0.597609561752988,1.85,3.784860557768924,21.09576923076922,51.29482071713147,1.88,3.386454183266932,N/A,11.97211155378486
17,ACGL,64.13500213623047,20.31,3.585657370517928,2.14,2.191235059760956,2.7,4.780876494023904,21.09576923076922,51.29482071713147,2.94,4.382470119521912,N/A,13.247011952191235
18,AMP,349.2950134277344,9.83,1.195219123505976,6.84,7.171314741035856,2.29,4.183266932270916,21.09576923076922,51.29482071713147,1.94,3.585657370517928,N/A,13.48605577689243
19,UPS,185.11000061035156,14.26,1.593625498007968,8.23,96.81274900398405,1.64,3.187250996015936,9.55,0.9960159362549801,1.78,3.087649402390438,N/A,21.135458167330675
20,APA,43.13999938964844,4.13,0.398406374501992,23.41,99.40239043824701,1.39,2.589641434262948,2.73,0.199203187250996,1.78,3.087649402390438,N/A,21.135458167330675
21,ALL,135.1999969482422,37.21962962962964,52.29083665338645,2.32,2.9880478087649402,0.72,1.593625498007968,21.09576923076922,51.29482071713147,0.88,1.593625498007968,N/A,21.95219123505976
22,AMAT,113.79000091552734,16.13,1.9920318725099602,8.3,97.01195219123505,4.08,6.374501992031872,12.62,1.9920318725099602,4.05,5.577689243027888,N/A,22.589641434262948
23,TMUS,143.88999938964844,103.64,99.40239043824701,2.54,3.784860557768924,2.22,3.9840637450199203,14.03,3.187250996015936,3.53,4.780876494023904,N/A,23.02788844621514
24,TSCO,232.41000366210938,23.97,5.378486055776892,12.59,98.40637450199203,1.84,3.585657370517928,16.75,4.780876494023904,2.1,3.884462151394422,N/A,23.207171314741036
25,APTV,112.45999908447266,59.14,98.40637450199203,3.56,4.780876494023904,1.8,3.386454183266932,18.63,5.577689243027888,2.1,3.884462151394422,N/A,23.207171314741036
26,APD,286.69000244140625,28.14,5.9760956175298805,4.54,5.776892430278884,4.92,95.81673306772907,16.09,4.183266932270916,5.35,6.772908366533864,N/A,23.705179282868524
27,VMC,184.42999267578125,40.07,97.60956175298804,3.56,4.780876494023904,3.41,5.179282868525896,18.81,5.776892430278884,4.03,5.378486055776892,N/A,23.745019920318725
28,ALLE,118.19000244140625,24.49,5.577689243027888,13.35,98.80478087649402,3.42,5.378486055776892,19.1,5.9760956175298805,4.01,5.179282868525896,N/A,24.183266932270914
29,TTWO,111.36000061035156,37.21962962962964,52.29083665338645,2.01,1.9920318725099602,3.46,5.577689243027888,30.58,98.40637450199203,4.46,5.9760956175298805,N/A,32.84860557768924
30,AES,26.020000457763672,37.21962962962964,52.29083665338645,6.86,7.370517928286852,1.44,2.9880478087649402,29.41,98.20717131474103,3.12,4.581673306772908,N/A,33.08764940239044
31,ALK,49.709999084472656,114.42,99.800796812749,1.72,1.095617529880478,0.68,1.394422310756972,46.39,99.601593625498,0.83,1.394422310756972,N/A,40.657370517928285
32,ABBV,152.4949951171875,20.0,3.187250996015936,17.06,99.20318725099601,4.38,6.573705179282868,12.68,2.191235059760956,5.43,95.21912350597609,N/A,41.27490039840637
33,AVB,178.97000122070312,20.48,3.784860557768924,2.25,2.788844621513944,9.99,98.80478087649402,14.59,3.585657370517928,13.15,99.00398406374501,N/A,41.59362549800797
34,ALB,264.72259521484375,21.78,4.183266932270916,5.0,5.9760956175298805,6.05,96.81274900398405,18.27,5.278884462151394,6.37,96.41434262948206,N/A,41.733067729083665
35,TRGP,76.58000183105469,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,1.43,2.589641434262948,N/A,41.89243027888446
36,ADI,177.62950134277344,33.86,6.972111553784861,2.47,3.386454183266932,7.74,97.80876494023904,17.0,4.9800796812749,7.92,97.60956175298804,N/A,42.15139442231076
37,AAL,16.309999465942383,89.58,99.00398406374501,7.6976363636363665,52.191235059760956,0.23,0.398406374501992,21.32,96.21513944223108,0.94,1.792828685258964,N/A,49.9203187250996
38,NSC,241.22000122070312,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
39,NOW,456.9200134277344,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
40,NRG,34.83000183105469,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
41,NTAP,66.16999816894531,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
42,J,121.27999877929688,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
43,NEE,74.74500274658203,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
44,NKE,121.81999969482422,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
45,NI,26.899999618530273,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
46,NFLX,349.17999267578125,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
47,NEM,47.80500030517578,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
48,NDSN,241.3249969482422,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
49,NDAQ,59.43000030517578,37.21962962962964,52.29083665338645,7.6976363636363665,52.191235059760956,4.467321428571429,51.09561752988048,21.09576923076922,51.29482071713147,5.363050847457627,50.99601593625498,N/A,51.57370517928287
